Latitude ,Longitude ,MaximumDepth ,SecchiDepth ,Sampling Depth ,T_Surf ,T_Epi ,Zeu / Zmix,BuoyFreq,TP ,TN ,Chlorophyl_a ,MC_YR ,MC_dmRR ,MC_RR ,MC_dmLR ,MC_LR ,CYN ,ATX ,ToxinRichness,TDI,TTC,Toxicity
53.78222222,20.45444444,7.1,1.8,6,21.2,17.1,1.43,0.01,0.06,0.75,49.46,0,0,0,0,0,0.006,0.002,2,0.57,0.008,1
52.19305556,21.07138889,4.5,0.5,3.5,26.5,24.8,0.84,0.01,0.03,4.35,30.1,0.007,0,0.104,0,0.043,0.082,0.098,5,1.41,0.334,2
52.29361111,16.69880556,15.9,3.2,9,24.7,19.5,2.76,0.01,0.03,0.47,3.49,0.002,0.25,0,0.023,0,0.021,0,4,0.56,0.296,2
52.36722222,20.84694444,10,0.8,4,26.9,24.6,2.27,0.01,0.02,1.47,32.25,0,0,0,0,0,0,0.002,1,0,0.002,1
52.26575,16.79672222,17.2,1.5,8,23.7,20.2,0.61,0.01,0.02,2.24,5.48,0.032,0.302,0,0.253,0,0.314,0,4,1.21,0.901,2
53.79708611,19.84148611,27.4,0.65,9.5,25.1,18.7,0.13,0.01,0.16,0.75,6.54,0.004,0.332,0.046,0.045,0.021,0.39,0.007,7,1.2,0.845,2
52.24905556,16.75191667,12,0.75,8,24.1,20.9,0.26,0.01,0.03,0.51,77.28,1.266,6.252,0,1.076,0.043,0.036,0.068,6,0.86,8.741,3
52.42986667,16.65826667,19.5,2.7,10,22.9,19.7,0.89,0.01,0.07,0.38,5.47,0,0,0,0,0,0.01,0,1,0,0.01,1
53.77388889,21.46,16.4,5.2,7,21.3,20.6,1.75,0,0.06,0.56,4.96,0.002,0.03,0,0.002,0.005,0,0,4,0.79,0.039,1
53.78194444,21.59222222,11.2,1.35,7.5,21,20.5,0.27,0.01,0.07,0.78,24.24,0.079,0.176,0,0.062,0,1.158,0.068,5,0.88,1.543,3
53.57555556,21.54888889,24,0.8,10,23.3,19.1,0.15,0.01,0.08,0.67,32.49,1.407,2.449,0,1.33,0.037,0.057,0,5,1.14,5.28,3
52.38363333,16.61503333,4.8,0.55,5,21.3,21,0.35,0,0.05,0.88,26.03,0.002,0,0.091,0.003,0.117,0,0,4,0.79,0.213,2
52.51138889,16.24083333,2.1,0.6,1.5,27.5,26.6,1.56,0.02,0.02,0.37,5.67,0.021,0,0.167,0.003,0.09,0.004,0,5,0.97,0.285,2
50.08322222,19.83483333,3,2.1,2,24,22.9,4.68,0.01,0.04,1.32,34.28,0.108,0.06,1.005,0.052,1.258,0,0,5,1.02,2.483,3
53.82322222,21.37822222,31,1.8,8.5,21.9,19.1,0.4,0.03,0.09,0.66,5.22,0,0,0,0,0,0.001,0,1,0,0.001,1
53.22778,17.0452778,5.8,0.5,4.5,24,22.9,0.35,0.01,0.08,2.22,99.44,1.385,4.172,0,1.952,0,0,0,3,0.99,7.509,3
53.67,21.91861111,32,1.9,12,22.9,18.1,0.29,0.01,0.1,0.57,15.02,0,0,0,0,0,0.112,0.003,2,0.11,0.115,2
52.42469444,16.88380556,9,0.65,2.5,26.5,25.9,1.46,0.01,0.07,0.38,75.04,0.022,0,0.144,0.008,0.105,0,0,4,1.01,0.279,2
53.90972222,21.48916667,51,0.9,8.5,23,18.1,0.24,0.01,0.07,0.73,13.27,0.05,0.163,0,0.044,0,0.247,0,4,1.16,0.504,2
53.75666667,20.53055556,12,1.5,7,20.8,17.4,0.93,0.01,0.04,1.17,30.25,0.61,1.74,0,0.276,0,0,0,3,0.85,2.626,3
52.413611,17.065,7.2,0.85,3,22.9,22.4,0.87,0,0.06,0.98,61.52,0,0,0,0.003,0,0,0.006,2,0.61,0.009,1
51.28755556,23.23813889,3.2,0.16,0.9,20.9,21.1,0.2,0,0.51,1.91,312.22,0.104,14.892,0.581,1.606,0,0.004,0.002,6,0.49,17.189,3
